[size=5][x=22][y=28][type=1] 	=> 0.000525
[size=5][x=11][y=19][type=2] 	=> 0.000525
[size=10][x=24][y=12][type=1] 	=> 0.000524
[size=5][x=29][y=22][type=0] 	=> 0.000524
[size=10][x=20][y=12][type=2] 	=> 0.000522
[size=5][x=11][y=17][type=0] 	=> 0.000521
[size=8][x=17][y=15][type=0] 	=> 0.000521
[size=10][x=28][y=9][type=2] 	=> 0.000520
[size=8][x=17][y=14][type=1] 	=> 0.000519
[size=8][x=2][y=21][type=1] 	=> 0.000518
[size=8][x=7][y=12][type=0] 	=> 0.000518
[size=10][x=22][y=14][type=2] 	=> 0.000516
[size=20][x=17][y=2][type=2] 	=> 0.000515
[size=8][x=20][y=17][type=2] 	=> 0.000513
[size=10][x=16][y=5][type=1] 	=> 0.000513
[size=10][x=25][y=25][type=1] 	=> 0.000509
[size=4][x=15][y=16][type=0] 	=> 0.000509
[size=10][x=26][y=21][type=1] 	=> 0.000507
[size=8][x=17][y=26][type=2] 	=> 0.000506
[size=4][x=4][y=30][type=0] 	=> 0.000504
[size=8][x=26][y=17][type=0] 	=> 0.000503
[size=8][x=24][y=14][type=2] 	=> 0.000503
[size=20][x=3][y=13][type=0] 	=> 0.000502
[size=4][x=31][y=29][type=0] 	=> 0.000501
[size=20][x=0][y=8][type=0] 	=> 0.000500
[size=10][x=19][y=6][type=0] 	=> 0.000499
[size=8][x=2][y=19][type=0] 	=> 0.000499
[size=8][x=8][y=18][type=1] 	=> 0.000492
[size=8][x=27][y=24][type=1] 	=> 0.000488
[size=10][x=4][y=24][type=2] 	=> 0.000488
[size=5][x=9][y=19][type=0] 	=> 0.000488
[size=10][x=8][y=28][type=2] 	=> 0.000486
[size=8][x=20][y=19][type=2] 	=> 0.000484
[size=8][x=23][y=11][type=1] 	=> 0.000484
[size=20][x=18][y=10][type=0] 	=> 0.000483
[size=8][x=12][y=11][type=0] 	=> 0.000483
[size=5][x=11][y=24][type=0] 	=> 0.000480
[size=5][x=21][y=7][type=2] 	=> 0.000480
[size=4][x=12][y=16][type=0] 	=> 0.000478
[size=5][x=3][y=34][type=0] 	=> 0.000476
